日期ASIN组合,退货时间,sku,品名,ASIN,求和项:退货数量,求和项:销量
44981 | B0BJVDC7KT,2023/2/24,AMZFT22101902,21-23福特bronco越野版扶手箱储物盒上层（升级款）+下层（2/4门）abs硅胶垫款（2件装）+前门拉手储物盒abs粘贴款1对装KJ,B0BJVDC7KT,1,
44981 | B09QM9JJN8,2023/2/24,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,2,7
44981 | B09QMC4XFX,2023/2/24,FT22011103,21-23福特bronco越野版tpe吸塑后备箱垫（4门）--米粒纹KJ,B09QMC4XFX,1,3
44981 | B09S3SKYQP,2023/2/24,FT22011502,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs+tpe款前门一对装KJ,B09S3SKYQP,2,4
44981 | B09V77B6VV,2023/2/24,FT22022401,21-23福特bronco越野版tpe吸塑后备箱下层垫（2/4门）--米粒纹KJ,B09V77B6VV,1,4
44981 | B09VL31QV5,2023/2/24,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,3,40
44981 | B09X45K866,2023/2/24,FT22040302,21-23福特bronco越野版扶手箱储物盒上层（升级款）+下层（2/4门）--abs硅胶垫款（2件装）KJ,B09X45K866,1,7
44981 | B0B1WFPQ98,2023/2/24,FT22042301,21-23福特bronco越野版tpe吸塑后备箱垫（2门）--米粒纹KJ,B0B1WFPQ98,2,4
44981 | B09YQ2WX1M,2023/2/24,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,1,11
44981 | B0B211Z51S,2023/2/24,FT22050212,21-23福特bronco越野版仪表台储物垫（2/4门）--tpe三件套KJ,B0B211Z51S,1,6
44981 | B0B4JPZZZV,2023/2/24,FT22050802,21-23福特bronco越野版座垫（4门）--半包黑色纳帕皮（KJ包销）,B0B4JPZZZV,1,2
44981 | B0B375DVJY,2023/2/24,FT22052111,21-23福特bronco越野版车门拓展储物盒（4门）--abs+tpe款后门1对装（带螺丝）KJ,B0B375DVJY,1,1
44981 | B0B3D95HVB,2023/2/24,FT22052501,21-23福特bronco越野版后备箱挂钩（4门）--铝合金黑色T形款（2个装）KJ,B0B3D95HVB,1,2
44981 | B0B42L93SW,2023/2/24,FT22052803,21-23福特bronco越野版前桥皮塞（2/4门）--4件套（2大+2小）（适用于未选配Sasquatch包车型）KJ,B0B42L93SW,1,1
44981 | B0B5CWQXBF,2023/2/24,FT22062711,21-23福特bronco越野版座垫（4门）--半包黑色潜水料（KJ包销）,B0B5CWQXBF,1,1
44981 | B0B8HF6RD8,2023/2/24,FT22072601,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（分体）2个装KJ,B0B8HF6RD8,2,10
44981 | B0BJZ9GTRV,2023/2/24,FT22090302,21-23福特bronco越野版尾门折叠工作台（2/4门）--B款（带菜板款KJ/WM包销）,B0BJZ9GTRV,1,1
44981 | B0BGMXGQY4,2023/2/24,FT22090802,21-23福特bronco越野版中控无线充电板（2/4门自动挡）KJ,B0BGMXGQY4,2,
44981 | B0BLYX122P,2023/2/24,FT22102102,21-23福特bronco越野版后备箱侧沿护板（4门软顶）--tpe款2片装KJ,B0BLYX122P,1,3
44981 | B0BN1JVJGD,2023/2/24,TPE23010501,18-22雪佛兰探界者tpe吸塑后备箱垫+椅背垫--米粒纹（KJ包销）,B0BN1JVJGD,1,2
44982 | B09QM8W8Y7,2023/2/25,FT22011501,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--abs硅胶垫款KJ,B09QM8W8Y7,1,5
44982 | B09S3SKYQP,2023/2/25,FT22011502,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs+tpe款前门一对装KJ,B09S3SKYQP,1,6
44982 | B09VL31QV5,2023/2/25,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,1,35
44982 | B09X459JVM,2023/2/25,FT22040301,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--硅胶升级款（带孔）KJ,B09X459JVM,1,4
44982 | B09YQ2WX1M,2023/2/25,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,2,9
44982 | B09Z2DN5FB,2023/2/25,FT22042601,21-23福特bronco越野版手套箱隔板（2/4门）--4件套KJ,B09Z2DN5FB,1,18
44982 | B0B375DVJY,2023/2/25,FT22052111,21-23福特bronco越野版车门拓展储物盒（4门）--abs+tpe款后门1对装（带螺丝）KJ,B0B375DVJY,1,3
44982 | B0B429KFYQ,2023/2/25,FT22060601,21-23福特bronco越野版挡泥板（2/4门）--免打孔款4片装（山峰图案）KJ,B0B429KFYQ,1,19
44982 | B0B76JY52R,2023/2/25,FT22061104,21-23福特bronco越野版车门拓展储物盒（4门）--abs网格款4片装KJ,B0B76JY52R,1,2
44982 | B0B7R6BGJC,2023/2/25,FT22072002,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹带皮兜）KJ,B0B7R6BGJC,1,1
44982 | B0BJV2SMPX,2023/2/25,FT22092812,21-23福特bronco越野版延伸轮眉（2/4门铁杠大脚野人包轮眉）--1对装KJ,B0BJV2SMPX,1,2
44982 | B0B19FYJWB,2023/2/25,FT23081501,21-23福特bronco越野版遮物帘（4门）--黑色帆布（挂钩款）KJ包销,B0B19FYJWB,1,4
44983 | B0B6FF5D2N,2023/2/26,AMZFT23010401,21-23福特bronco越野版后杠拖车牵引挂钩组件（2/4门）原厂款+通用后拖车钩孔塞KJ,B0B6FF5D2N,1,2
44983 | B09QM9JJN8,2023/2/26,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,1,1
44983 | B09V77B6VV,2023/2/26,FT22022401,21-23福特bronco越野版tpe吸塑后备箱下层垫（2/4门）--米粒纹KJ,B09V77B6VV,1,3
44983 | B09VL31QV5,2023/2/26,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,1,38
44983 | B0B1WFPQ98,2023/2/26,FT22042301,21-23福特bronco越野版tpe吸塑后备箱垫（2门）--米粒纹KJ,B0B1WFPQ98,1,3
44983 | B0B4JPN7BC,2023/2/26,FT22050801,21-23福特bronco越野版座垫（4门）--半包红色纳帕皮（KJ包销）,B0B4JPN7BC,1,
44983 | B0B429KFYQ,2023/2/26,FT22060601,21-23福特bronco越野版挡泥板（2/4门）--免打孔款4片装（山峰图案）KJ,B0B429KFYQ,2,13
44983 | B0B7R6BGJC,2023/2/26,FT22072002,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹带皮兜）KJ,B0B7R6BGJC,1,1
44983 | B0BN18B5TH,2023/2/26,FT22080403,21-23福特bronco越野版挡泥板（2/4门）--免打孔款4片装（无标款）KJ,B0BN18B5TH,1,
44983 | B0BLYMPH1R,2023/2/26,FT23051101,21-23福特bronco越野版6.5英寸吊舱音响外壳（2/4门）--升级款哑黑色（KJ包销）,B0BLYMPH1R,1,1
44984 | B09S3SKYQP,2023/2/27,FT22011502,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs+tpe款前门一对装KJ,B09S3SKYQP,1,5
